Year;GDPPerCapita
1960;0
1961;0
1962;0
1963;0
1964;0
1965;1112.31646579174
1966;1235.53648581197
1967;1233.85201967428
1968;1360.84557401073
1969;1301.40294401871
1970;1380.4168636732
1971;1455.41556811196
1972;1909.37812560648
1973;2924.97317821846
1974;6953.44464290679
1975;7265.61922434297
1976;8506.9095882165
1977;9968.13572734352
1978;10765.3193588604
1979;15010.6539329407
1980;25530.4130799064
1981;21925.7886548709
1982;20795.0431161879
1983;18227.2244857442
1984;17439.5812149899
1985;15797.4820020055
1986;10280.7661871402
1987;11672.4444351079
1988;11084.3153498771
1989;11954.4001284756
1990;13701.8970422471
1991;14002.1071342971
1992;15381.3139100223
1993;14678.0715929009
1994;14220.6363441058
1995;16046.9815826138
1996;16913.9353639107
1997;16779.3384713214
1998;12784.7662234822
1999;14205.7737205539
2000;18154.8349324604
2001;16616.798045418
2002;17016.9434933055
2003;18758.9808946915
2004;22131.9460641106
2005;26337.957673401
2006;31157.0348736991
2007;32707.6680643732
2008;37799.2824746714
2009;27727.0668180036
2010;31453.0059440482
2011;41786.5888872866
2012;41808.7567763956
2013;39152.3084767613
2014;41344.0400895904
2015;27759.05
2016;27817.652
2017;30110.101
2018;33069.936
2019;38311.887
2020;42043.987
