Year;GDPPerCapita
1960;0
1961;0
1962;0
1963;0
1964;0
1965;0
1966;0
1967;56.4723542189847
1968;68.6202544382017
1969;78.7025971296739
1970;84.0924668456728
1971;83.522315206413
1972;95.8626419675447
1973;138.20720721993
1974;213.608923565275
1975;245.922125921024
1976;293.474149429928
1977;352.427873678956
1978;386.008081321017
1979;382.653765523616
1980;528.937639479702
1981;612.495620039177
1982;613.018269526636
1983;540.15980742011
1984;542.305236549076
1985;529.287391943845
1986;475.41385955025
1987;442.14812207189
1988;507.355183144964
1989;569.227170582872
1990;630.668556771293
1991;694.245756576301
1992;740.917747910218
1993;827.810348145865
1994;912.097702939456
1995;1026.27053440703
1996;1137.26564794368
1997;1063.56795617586
1998;463.883002060677
1999;671.005634084103
2000;780.092078954339
2001;748.184746113868
2002;900.130803943843
2003;1065.65654610135
2004;1150.34929408933
2005;1263.48144553621
2006;1590.17790597325
2007;1860.62262569343
2008;2167.85765032782
2009;2262.72078612573
2010;3125.21993359966
2011;3647.62662181143
2012;3700.52353809447
2013;3623.53235988707
2014;3491.92971737141
2015;3415.834
2016;3383.865
2017;3625.06
2018;3844.817
2019;4100.119
2020;4379.644
