Year;GDPPerCapita
1960;299.108926085298
1961;287.414698362264
1962;292.033621485132
1963;300.96683664584
1964;312.222825238972
1965;333.116326249101
1966;344.64930112979
1967;347.693707061618
1968;353.43612481443
1969;380.698394868753
1970;392.044072951159
1971;403.711608454336
1972;468.090795360428
1973;694.157176455477
1974;839.923699330625
1975;803.324754695512
1976;932.848945546092
1977;1084.05116248988
1978;1262.78825115725
1979;1599.67064940018
1980;1802.62509870864
1981;1795.68909750823
1982;1876.2336492078
1983;2055.51100118215
1984;2254.28927153852
1985;2015.45032855321
1986;1741.06205510235
1987;1926.64385932409
1988;2050.44857802364
1989;2193.95863105407
1990;2417.41659798449
1991;2626.09752917725
1992;3080.06290491558
1993;3395.52592053913
1994;3686.09445086039
1995;4286.16895042312
1996;4743.51882213872
1997;4593.18932117183
1998;3228.1579323046
1999;3456.465963943
2000;4004.54595517499
2001;3878.7714093459
2002;4132.67852501416
2003;4431.2394550148
2004;4924.58585200036
2005;5564.18546932934
2006;6194.70043428254
2007;7240.73557996344
2008;8486.54760539949
2009;7312.00368379042
2010;8802.91348994664
2011;10125.8816562179
2012;10507.7927789015
2013;10628.0092999529
2014;10933.4852719238
2015;10073.168
2016;11090.067
2017;12192.378
2018;13362.929
2019;14650.563
2020;16079.971
