Year;GDPPerCapita
1960;0
1961;0
1962;0
1963;0
1964;0
1965;0
1966;0
1967;0
1968;0
1969;0
1970;0
1971;0
1972;0
1973;0
1974;0
1975;0
1976;0
1977;0
1978;0
1979;0
1980;0
1981;0
1982;0
1983;0
1984;0
1985;239.428695250505
1986;437.129543458548
1987;593.653573561669
1988;401.874910996835
1989;97.1578850639445
1990;98.0318690015855
1991;142.965889882784
1992;144.148658604128
1993;189.260516107791
1994;229.954805103072
1995;288.020277867905
1996;337.05006283199
1997;361.25448830082
1998;360.600798022492
1999;374.476420064783
2000;433.3337076797
2001;448.882279778256
2002;477.105876263106
2003;530.861849364997
2004;606.904378261988
2005;699.499778976363
2006;796.671573774518
2007;919.209265568078
2008;1164.61252461712
2009;1232.36967118834
2010;1333.58352635481
2011;1543.02695033023
2012;1755.26542357512
2013;1908.64033992167
2014;2052.29420172228
2015;2170.882
2016;2320.698
2017;2458.092
2018;2618.588
2019;2785.99
2020;2977.619
